dataset,split,index,dialect_group,raw_dialect
maccorpus,test,0,MSA,MSA
maccorpus,test,1,MAGHREB,MAGHREB
maccorpus,test,2,OTHER_MIXED,GLF
maccorpus,test,3,MSA,MSA
maccorpus,test,4,OTHER_MIXED,GLF
maccorpus,test,5,MSA,MSA
maccorpus,test,6,MSA,MSA
maccorpus,test,7,OTHER_MIXED,LEV
maccorpus,test,8,MAGHREB,MAGHREB
maccorpus,test,9,MAGHREB,MAGHREB
maccorpus,test,10,MAGHREB,MAGHREB
maccorpus,test,11,MAGHREB,MAGHREB
maccorpus,test,12,OTHER_MIXED,GLF
maccorpus,test,13,OTHER_MIXED,LEV
maccorpus,test,14,MAGHREB,MAGHREB
maccorpus,test,15,MSA,MSA
maccorpus,test,16,MAGHREB,MAGHREB
maccorpus,test,17,MAGHREB,MAGHREB
maccorpus,test,18,MAGHREB,MAGHREB
maccorpus,test,19,MAGHREB,MAGHREB
maccorpus,test,20,MSA,MSA
maccorpus,test,21,MAGHREB,MAGHREB
maccorpus,test,22,MAGHREB,MAGHREB
maccorpus,test,23,MAGHREB,MAGHREB
maccorpus,test,24,MSA,MSA
maccorpus,test,25,EGY,EGY
maccorpus,test,26,OTHER_MIXED,LEV
maccorpus,test,27,MSA,MSA
maccorpus,test,28,MSA,MSA
maccorpus,test,29,OTHER_MIXED,LEV
maccorpus,test,30,OTHER_MIXED,LEV
maccorpus,test,31,MAGHREB,MAGHREB
maccorpus,test,32,MSA,MSA
maccorpus,test,33,OTHER_MIXED,GLF
maccorpus,test,34,MSA,MSA
maccorpus,test,35,OTHER_MIXED,GLF
maccorpus,test,36,MAGHREB,MAGHREB
maccorpus,test,37,OTHER_MIXED,LEV
maccorpus,test,38,MAGHREB,MAGHREB
maccorpus,test,39,MSA,MSA
maccorpus,test,40,EGY,EGY
maccorpus,test,41,MAGHREB,MAGHREB
maccorpus,test,42,OTHER_MIXED,GLF
maccorpus,test,43,OTHER_MIXED,GLF
maccorpus,test,44,MSA,MSA
maccorpus,test,45,MSA,MSA
maccorpus,test,46,OTHER_MIXED,LEV
maccorpus,test,47,MAGHREB,MAGHREB
maccorpus,test,48,OTHER_MIXED,LEV
maccorpus,test,49,MAGHREB,MAGHREB
maccorpus,test,50,OTHER_MIXED,LEV
maccorpus,test,51,OTHER_MIXED,GLF
maccorpus,test,52,MSA,MSA
maccorpus,test,53,OTHER_MIXED,GLF
maccorpus,test,54,OTHER_MIXED,GLF
maccorpus,test,55,MSA,MSA
maccorpus,test,56,OTHER_MIXED,GLF
maccorpus,test,57,MAGHREB,MAGHREB
maccorpus,test,58,MAGHREB,MAGHREB
maccorpus,test,59,OTHER_MIXED,GLF
maccorpus,test,60,MAGHREB,MAGHREB
maccorpus,test,61,MAGHREB,MAGHREB
maccorpus,test,62,MAGHREB,MAGHREB
maccorpus,test,63,OTHER_MIXED,GLF
maccorpus,test,64,MSA,MSA
maccorpus,test,65,OTHER_MIXED,GLF
maccorpus,test,66,EGY,EGY
maccorpus,test,67,OTHER_MIXED,GLF
maccorpus,test,68,MAGHREB,MAGHREB
maccorpus,test,69,MAGHREB,MAGHREB
maccorpus,test,70,MAGHREB,MAGHREB
maccorpus,test,71,MSA,MSA
maccorpus,test,72,OTHER_MIXED,GLF
maccorpus,test,73,MAGHREB,MAGHREB
maccorpus,test,74,OTHER_MIXED,GLF
maccorpus,test,75,MAGHREB,MAGHREB
maccorpus,test,76,MAGHREB,MAGHREB
maccorpus,test,77,OTHER_MIXED,LEV
maccorpus,test,78,MSA,MSA
maccorpus,test,79,MAGHREB,MAGHREB
maccorpus,test,80,OTHER_MIXED,LEV
maccorpus,test,81,MAGHREB,MAGHREB
maccorpus,test,82,MAGHREB,MAGHREB
maccorpus,test,83,MAGHREB,MAGHREB
maccorpus,test,84,OTHER_MIXED,LEV
maccorpus,test,85,MAGHREB,MAGHREB
maccorpus,test,86,OTHER_MIXED,GLF
maccorpus,test,87,MAGHREB,MAGHREB
maccorpus,test,88,MSA,MSA
maccorpus,test,89,OTHER_MIXED,GLF
maccorpus,test,90,OTHER_MIXED,GLF
maccorpus,test,91,OTHER_MIXED,GLF
maccorpus,test,92,MAGHREB,MAGHREB
maccorpus,test,93,OTHER_MIXED,GLF
maccorpus,test,94,OTHER_MIXED,GLF
maccorpus,test,95,EGY,EGY
maccorpus,test,96,OTHER_MIXED,GLF
maccorpus,test,97,MAGHREB,MAGHREB
maccorpus,test,98,OTHER_MIXED,LEV
maccorpus,test,99,MSA,MSA
maccorpus,test,100,MAGHREB,MAGHREB
maccorpus,test,101,MAGHREB,MAGHREB
maccorpus,test,102,MAGHREB,MAGHREB
maccorpus,test,103,MAGHREB,MAGHREB
maccorpus,test,104,MAGHREB,MAGHREB
maccorpus,test,105,MAGHREB,MAGHREB
maccorpus,test,106,OTHER_MIXED,GLF
maccorpus,test,107,MAGHREB,MAGHREB
maccorpus,test,108,MSA,MSA
maccorpus,test,109,MSA,MSA
maccorpus,test,110,MAGHREB,MAGHREB
maccorpus,test,111,MSA,MSA
maccorpus,test,112,MSA,MSA
maccorpus,test,113,OTHER_MIXED,GLF
maccorpus,test,114,OTHER_MIXED,GLF
maccorpus,test,115,MSA,MSA
maccorpus,test,116,MAGHREB,MAGHREB
maccorpus,test,117,MAGHREB,MAGHREB
maccorpus,test,118,MAGHREB,MAGHREB
maccorpus,test,119,MAGHREB,MAGHREB
maccorpus,test,120,MAGHREB,MAGHREB
maccorpus,test,121,MAGHREB,MAGHREB
maccorpus,test,122,MSA,MSA
maccorpus,test,123,OTHER_MIXED,LEV
maccorpus,test,124,MAGHREB,MAGHREB
maccorpus,test,125,OTHER_MIXED,LEV
maccorpus,test,126,MAGHREB,MAGHREB
maccorpus,test,127,MAGHREB,MAGHREB
maccorpus,test,128,MAGHREB,MAGHREB
maccorpus,test,129,MAGHREB,MAGHREB
maccorpus,test,130,MSA,MSA
maccorpus,test,131,MAGHREB,MAGHREB
maccorpus,test,132,EGY,EGY
maccorpus,test,133,MSA,MSA
maccorpus,test,134,OTHER_MIXED,GLF
maccorpus,test,135,OTHER_MIXED,GLF
maccorpus,test,136,MSA,MSA
maccorpus,test,137,MAGHREB,MAGHREB
maccorpus,test,138,OTHER_MIXED,GLF
maccorpus,test,139,OTHER_MIXED,LEV
maccorpus,test,140,MAGHREB,MAGHREB
maccorpus,test,141,OTHER_MIXED,LEV
maccorpus,test,142,MSA,MSA
maccorpus,test,143,MSA,MSA
maccorpus,test,144,OTHER_MIXED,LEV
maccorpus,test,145,MAGHREB,MAGHREB
maccorpus,test,146,MSA,MSA
maccorpus,test,147,MAGHREB,MAGHREB
maccorpus,test,148,OTHER_MIXED,GLF
maccorpus,test,149,MAGHREB,MAGHREB
maccorpus,test,150,MSA,MSA
maccorpus,test,151,MAGHREB,MAGHREB
maccorpus,test,152,OTHER_MIXED,GLF
maccorpus,test,153,MAGHREB,MAGHREB
maccorpus,test,154,MAGHREB,MAGHREB
maccorpus,test,155,MSA,MSA
maccorpus,test,156,OTHER_MIXED,GLF
maccorpus,test,157,MSA,MSA
maccorpus,test,158,MSA,MSA
maccorpus,test,159,MAGHREB,MAGHREB
maccorpus,test,160,MSA,MSA
maccorpus,test,161,MSA,MSA
maccorpus,test,162,EGY,EGY
maccorpus,test,163,MAGHREB,MAGHREB
maccorpus,test,164,MSA,MSA
maccorpus,test,165,MAGHREB,MAGHREB
maccorpus,test,166,OTHER_MIXED,LEV
maccorpus,test,167,OTHER_MIXED,LEV
maccorpus,test,168,MAGHREB,MAGHREB
maccorpus,test,169,OTHER_MIXED,GLF
maccorpus,test,170,MAGHREB,MAGHREB
maccorpus,test,171,OTHER_MIXED,GLF
maccorpus,test,172,MAGHREB,MAGHREB
maccorpus,test,173,OTHER_MIXED,GLF
maccorpus,test,174,OTHER_MIXED,GLF
maccorpus,test,175,OTHER_MIXED,GLF
maccorpus,test,176,OTHER_MIXED,GLF
maccorpus,test,177,MAGHREB,MAGHREB
maccorpus,test,178,MAGHREB,MAGHREB
maccorpus,test,179,MSA,MSA
maccorpus,test,180,OTHER_MIXED,GLF
maccorpus,test,181,MAGHREB,MAGHREB
maccorpus,test,182,MAGHREB,MAGHREB
maccorpus,test,183,MSA,MSA
maccorpus,test,184,OTHER_MIXED,GLF
maccorpus,test,185,MAGHREB,MAGHREB
maccorpus,test,186,MAGHREB,MAGHREB
maccorpus,test,187,MAGHREB,MAGHREB
maccorpus,test,188,MAGHREB,MAGHREB
maccorpus,test,189,MAGHREB,MAGHREB
maccorpus,test,190,MSA,MSA
maccorpus,test,191,MSA,MSA
maccorpus,test,192,MSA,MSA
maccorpus,test,193,OTHER_MIXED,GLF
maccorpus,test,194,MSA,MSA
maccorpus,test,195,MAGHREB,MAGHREB
maccorpus,test,196,OTHER_MIXED,GLF
maccorpus,test,197,MSA,MSA
maccorpus,test,198,MAGHREB,MAGHREB
maccorpus,test,199,OTHER_MIXED,GLF
maccorpus,test,200,MSA,MSA
maccorpus,test,201,OTHER_MIXED,LEV
maccorpus,test,202,MAGHREB,MAGHREB
maccorpus,test,203,OTHER_MIXED,GLF
maccorpus,test,204,OTHER_MIXED,GLF
maccorpus,test,205,MSA,MSA
maccorpus,test,206,MSA,MSA
maccorpus,test,207,OTHER_MIXED,LEV
maccorpus,test,208,OTHER_MIXED,GLF
maccorpus,test,209,MAGHREB,MAGHREB
maccorpus,test,210,MAGHREB,MAGHREB
maccorpus,test,211,MSA,MSA
maccorpus,test,212,MSA,MSA
maccorpus,test,213,OTHER_MIXED,GLF
maccorpus,test,214,OTHER_MIXED,GLF
maccorpus,test,215,OTHER_MIXED,GLF
maccorpus,test,216,OTHER_MIXED,LEV
maccorpus,test,217,MSA,MSA
maccorpus,test,218,OTHER_MIXED,LEV
maccorpus,test,219,MAGHREB,MAGHREB
maccorpus,test,220,OTHER_MIXED,GLF
maccorpus,test,221,MAGHREB,MAGHREB
maccorpus,test,222,OTHER_MIXED,LEV
maccorpus,test,223,MAGHREB,MAGHREB
maccorpus,test,224,EGY,EGY
maccorpus,test,225,OTHER_MIXED,GLF
maccorpus,test,226,OTHER_MIXED,GLF
maccorpus,test,227,OTHER_MIXED,GLF
maccorpus,test,228,MAGHREB,MAGHREB
maccorpus,test,229,MAGHREB,MAGHREB
maccorpus,test,230,OTHER_MIXED,LEV
maccorpus,test,231,MSA,MSA
maccorpus,test,232,MAGHREB,MAGHREB
maccorpus,test,233,MSA,MSA
maccorpus,test,234,OTHER_MIXED,GLF
maccorpus,test,235,OTHER_MIXED,GLF
maccorpus,test,236,MSA,MSA
maccorpus,test,237,MAGHREB,MAGHREB
maccorpus,test,238,MAGHREB,MAGHREB
maccorpus,test,239,MAGHREB,MAGHREB
maccorpus,test,240,MSA,MSA
maccorpus,test,241,MSA,MSA
maccorpus,test,242,OTHER_MIXED,LEV
maccorpus,test,243,MAGHREB,MAGHREB
maccorpus,test,244,OTHER_MIXED,GLF
maccorpus,test,245,OTHER_MIXED,GLF
maccorpus,test,246,MSA,MSA
maccorpus,test,247,MAGHREB,MAGHREB
maccorpus,test,248,MAGHREB,MAGHREB
maccorpus,test,249,OTHER_MIXED,LEV
maccorpus,test,250,MAGHREB,MAGHREB
maccorpus,test,251,OTHER_MIXED,GLF
maccorpus,test,252,OTHER_MIXED,GLF
maccorpus,test,253,OTHER_MIXED,GLF
maccorpus,test,254,MAGHREB,MAGHREB
maccorpus,test,255,OTHER_MIXED,GLF
maccorpus,test,256,MAGHREB,MAGHREB
maccorpus,test,257,MAGHREB,MAGHREB
maccorpus,test,258,OTHER_MIXED,GLF
maccorpus,test,259,MAGHREB,MAGHREB
maccorpus,test,260,MSA,MSA
maccorpus,test,261,MAGHREB,MAGHREB
maccorpus,test,262,OTHER_MIXED,GLF
maccorpus,test,263,MSA,MSA
maccorpus,test,264,OTHER_MIXED,GLF
maccorpus,test,265,MAGHREB,MAGHREB
maccorpus,test,266,MSA,MSA
maccorpus,test,267,MAGHREB,MAGHREB
maccorpus,test,268,MAGHREB,MAGHREB
maccorpus,test,269,MSA,MSA
maccorpus,test,270,MAGHREB,MAGHREB
maccorpus,test,271,OTHER_MIXED,GLF
maccorpus,test,272,MAGHREB,MAGHREB
maccorpus,test,273,OTHER_MIXED,GLF
maccorpus,test,274,MSA,MSA
maccorpus,test,275,MAGHREB,MAGHREB
maccorpus,test,276,MSA,MSA
maccorpus,test,277,MSA,MSA
maccorpus,test,278,MAGHREB,MAGHREB
maccorpus,test,279,MSA,MSA
maccorpus,test,280,OTHER_MIXED,GLF
maccorpus,test,281,MAGHREB,MAGHREB
maccorpus,test,282,MSA,MSA
maccorpus,test,283,OTHER_MIXED,GLF
maccorpus,test,284,OTHER_MIXED,LEV
maccorpus,test,285,OTHER_MIXED,GLF
maccorpus,test,286,OTHER_MIXED,LEV
maccorpus,test,287,MSA,MSA
maccorpus,test,288,MAGHREB,MAGHREB
maccorpus,test,289,OTHER_MIXED,LEV
maccorpus,test,290,OTHER_MIXED,LEV
maccorpus,test,291,MAGHREB,MAGHREB
maccorpus,test,292,MAGHREB,MAGHREB
maccorpus,test,293,MSA,MSA
maccorpus,test,294,MAGHREB,MAGHREB
maccorpus,test,295,MAGHREB,MAGHREB
maccorpus,test,296,MAGHREB,MAGHREB
maccorpus,test,297,MAGHREB,MAGHREB
maccorpus,test,298,OTHER_MIXED,GLF
maccorpus,test,299,MAGHREB,MAGHREB
maccorpus,test,300,OTHER_MIXED,GLF
maccorpus,test,301,OTHER_MIXED,GLF
maccorpus,test,302,OTHER_MIXED,GLF
maccorpus,test,303,MAGHREB,MAGHREB
maccorpus,test,304,MSA,MSA
maccorpus,test,305,OTHER_MIXED,LEV
maccorpus,test,306,MSA,MSA
maccorpus,test,307,OTHER_MIXED,GLF
maccorpus,test,308,OTHER_MIXED,GLF
maccorpus,test,309,OTHER_MIXED,GLF
maccorpus,test,310,OTHER_MIXED,GLF
maccorpus,test,311,OTHER_MIXED,LEV
maccorpus,test,312,MAGHREB,MAGHREB
maccorpus,test,313,MSA,MSA
maccorpus,test,314,MAGHREB,MAGHREB
maccorpus,test,315,OTHER_MIXED,GLF
maccorpus,test,316,OTHER_MIXED,LEV
maccorpus,test,317,MAGHREB,MAGHREB
maccorpus,test,318,OTHER_MIXED,GLF
maccorpus,test,319,MSA,MSA
maccorpus,test,320,MSA,MSA
maccorpus,test,321,OTHER_MIXED,GLF
maccorpus,test,322,MSA,MSA
maccorpus,test,323,MAGHREB,MAGHREB
maccorpus,test,324,OTHER_MIXED,GLF
maccorpus,test,325,OTHER_MIXED,LEV
maccorpus,test,326,OTHER_MIXED,GLF
maccorpus,test,327,OTHER_MIXED,LEV
maccorpus,test,328,MAGHREB,MAGHREB
maccorpus,test,329,OTHER_MIXED,LEV
